"title","author","journal","year"
"EP-2298: Hypoxia inducible factor 1α confers androgen independence in prostate cancer","B Bibby, M Tran, L Yang, F Lo, A Warren, D Shukla, M Osborne, ...","Elsevier",2018
"Condensin Depletion Causes Genome Decompaction Without Altering the Level of Global Gene Expression in Saccharomyces cerevisiae","MR Paul, TE Markowitz, A Hochwagen, S Ercan","Genetics",2018
"Histidine-dependent protein methylation is required for compartmentalization of CTP synthase","WC Lin, A Chakraborty, SC Huang, PY Wang, YJ Hsieh, KY Chien, ...","Cell reports",2018
"A colloidal nanopatterning and downscaling of a highly periodic au nanoporous EGFET biosensor","A Purwidyantri, L Kamajaya, CH Chen, JD Luo, CC Chiou, YC Tian, ...","Journal of the Electrochemical Society",2018
"Risk analysis of malignant potential of oral verrucous hyperplasia: A follow‐up study of 269 patients and copy number variation analysis","MH Wu, JD Luo, WC Wang, TH Chang, WL Hwang, KH Lee, SY Liu, ...","Head & neck",2018
"核酸分子檢測方法及檢測套組","CC Chiou, TAIL CHEN, J LUO","",2018
"Detection method and detection kit for nucleic acid molecules","CC CHIOU, C Tai-Long, LUO Ji-Dung","US Patent App.",2018
"Comparative genomics reveals the core gene toolbox for the fungus-insect symbiosis","Y Wang, M Stata, W Wang, JE Stajich, MM White, JM Moncalvo","MBio",2018
"Genome-wide nucleotide diversity and associations with geography, ploidy level and glucosinolate profiles in Aethionema arabicum (Brassicaceae)","S Mohammadin, W Wang, T Liu, H Moazzeni, K Ertugrul, T Uysal, ...","Plant Systematics and Evolution",2018
"Coupling shRNA screens with single-cell RNA-seq identifies a dual role for mTOR in reprogramming-induced senescence","M Aarts, A Georgilis, M Beniazza, P Beolchi, A Banito, T Carroll, M Kulisic, ...","Genes & Development",2017
"A high-resolution map of transcriptional repression","Z Liang, KE Brown, T Carroll, B Taylor, IF Vidal, B Hendrich, D Rueda, ...","Elife",2017
"Ret receptor tyrosine kinase sustains proliferation and tissue maturation in intestinal epithelia","D Perea, J Guiu, B Hudry, C Konstantinidou, A Milona, D Hadjieconomou, ...","The EMBO journal",2017
"Analysis of ChIP-seq data in R/Bioconductor","I de Santiago, T Carroll","Chromatin Immunoprecipitation: Methods and Protocols",2017
"An efficient method for generation of bi-allelic null mutant mouse embryonic stem cells and its application for investigating epigenetic modifiers","CL Fisher, H Marks, LT Cho, R Andrews, S Wormald, T Carroll, V Iyer, ...","Nucleic acids research",2017
"Assessing ChIP-seq sample quality with ChIPQC","T Carroll, R Stark","",2017
"Strategies to mitigate climate change impacts on vulnerable populations","AS Hilts, A Mair, D French, T Carroll, M Benedict, H Moss, E Stupp, ...","APHA",2017
"Acute condensin depletion causes genome decompaction without altering the level of global gene expression in Saccharomyces cerevisiae","MR Paul, TE Markowitz, A Hochwagen, S Ercan","bioRxiv",2017
"APOBEC3A is an oral cancer prognostic biomarker in Taiwanese carriers of an APOBEC deletion polymorphism","TW Chen, CC Lee, H Liu, CS Wu, CR Pickering, PJ Huang, J Wang, ...","Nature communications",2017
"Speckled ZnO Nanograss Electrochemical Sensor for Staphylococcus epidermidis Detection","A Purwidyantri, CH Chen, LY Chen, CC Chen, JD Luo, CC Chiou, ...","Journal of The Electrochemical Society",2017
"Hill-Robertson interference reduces genetic diversity on a young plant Y-chromosome","J Hough, W Wang, SCH Barrett, SI Wright","Genetics",2017
"The genetic architecture of tristyly and its breakdown to self‐fertilization","R Arunkumar, W Wang, SI Wright, SCH Barrett","Molecular ecology",2017
"SWI/SNF regulates a transcriptional program that induces senescence to prevent liver cancer","L Tordella, S Khan, A Hohmeyer, A Banito, S Klotz, S Raguz, N Martin, ...","Genes & development",2016
"MicroRNAs of the miR-290–295 family maintain bivalency in mouse embryonic stem cells","B Graham, A Marcais, G Dharmalingam, T Carroll, C Kanellopoulou, ...","Stem Cell Reports",2016
"Package ‘ChIPQC’","T Carroll, W Liu, I de Santiago, R Stark, C biocViews Sequencing, ...","",2016
"Clusters of Nuclear Beta-Catenin Accumulating Cells Form Secretory Hubs in Adamantinomatous Craniopharyngioma","JR Apps, N Jani, JM Gonzalez-Meljem, K Tossell, T Carroll, MA Ungless, ...","The Journal of Pathology",2016
"Analysis of the mechanisms that regulate the AURKB gene","P Begum, T Carroll, N Dillon","The Lancet",2016
"PREX1 protein function is negatively regulated downstream of receptor tyrosine kinase activation by p21-activated kinases (PAKs)","D Barrows, JZ He, R Parsons","Journal of Biological Chemistry",2016
"Spin-coated Au-nanohole arrays engineered by nanosphere lithography for a Staphylococcus aureus 16S rRNA electrochemical sensor","A Purwidyantri, CH Chen, BJ Hwang, JD Luo, CC Chiou, YC Tian, CY Lin, ...","Biosensors and Bioelectronics",2016
"Programming a nonvolatile memory-like sensor for KRAS gene sensing and signal enhancement","YT Lin, A Purwidyantri, JD Luo, CC Chiou, CM Yang, CH Lo, TL Hwang, ...","Biosensors and Bioelectronics",2016
"GeneGazer: A toolkit integrating two pipelines for personalized profiling and biosignature identification","JD Luo, YJ Chang, CM Chang, JF You, PL Wei, CC Chiou","Cancer Genomics-Proteomics",2016
"Investigation of MicroRNA Expression Profiles in the Susceptible Population to In‐stent Restenosis","CJ Chen, CH Wu, S Chun‐Ming, CY Huang, WF Bi, CS Chan, YT Kao, ...","The FASEB Journal",2016
"mTOR regulates MAPKAPK2 translation to control the senescence-associated secretory phenotype","N Herranz, S Gallage, M Mellone, T Wuestefeld, S Klotz, CJ Hanley, ...","Nature cell biology",2015
"Spatial enhancer clustering and regulation of enhancer-proximal genes by cohesin","E Ing-Simmons, VC Seitan, AJ Faure, P Flicek, T Carroll, J Dekker, ...","Genome research",2015
"5-hydroxymethylcytosine marks promoters in colon that resist DNA hypermethylation in cancer","S Uribe-Lewis, R Stark, T Carroll, MJ Dunning, M Bachman, Y Ito, L Stojic, ...","Genome biology",2015
"Salt-inducible kinase 2 regulates mitotic progression and transcription in prostate cancer","H Bon, K Wadhwa, A Schreiner, M Osborne, T Carroll, A Ramos-Montoya, ...","Molecular Cancer Research",2015
"Jarid2 coordinates nanog expression and PCP/Wnt signaling required for efficient ESC differentiation and early embryo development","D Landeira, H Bagci, AR Malinowski, KE Brown, J Soza-Ried, A Feytout, ...","Cell reports",2015
"Initiation and maintenance of pluripotency gene expression in the absence of cohesin","T Lavagnolli, P Gupta, E Hörmanseder, H Mira-Bontenbal, ...","Genes & development",2015
"microRNAs regulate cell-to-cell variability of endogenous target gene expression in developing mouse thymocytes","R Blevins, L Bruno, T Carroll, J Elliott, A Marcais, C Loh, A Hertweck, ...","PLoS genetics",2015
"Opposing functions for distinct LINC complexes in actin cytoskeleton organization","K Thakar, TW Carroll","MOLECULAR BIOLOGY OF THE CELL",2015
"PTEN inhibits PREX2-catalyzed activation of RAC1 to restrain tumor cell invasion","SM Mense, D Barrows, C Hodakoski, N Steinbach, D Schoenfeld, W Su, ...","Science signaling",2015
"p21-activated kinases (PAKs) mediate the phosphorylation of PREX2 protein to initiate feedback inhibition of Rac1 GTPase","D Barrows, SM Schoenfeld, C Hodakoski, A Silkov, B Honig, A Couvillon, ...","Journal of Biological Chemistry",2015
"Sensing performance of fibronectin-functionalized Au-EGFET on the detection of S. epidermidis biofilm and 16S rRNA of infection-related bacteria in peritoneal dialysis","A Purwidyantri, HC Lai, SH Tsai, JD Luo, CC Chiou, YC Tian, CH Cheng, ...","Sensors and Actuators B: Chemical",2015
"Circulating messenger RNA profiling with microarray and next-generation sequencing: cross-platform comparison","CL Shih, JD Luo, JWC Chang, TL Chen, YT Chien, CJ Yu, CC Chiou","Cancer Genomics-Proteomics",2015
"Hybrid origins and the earliest stages of diploidization in the highly successful recent polyploid Capsella bursa-pastoris","GM Douglas, G Gos, KA Steige, A Salcedo, K Holm, EB Josephs, ...","Proceedings of the National Academy of Sciences",2015
"Reproductive Mode and the Evolution of Genome Size and Structure in Caenorhabditis Nematodes","JL Fierst, JH Willis, CG Thomas, W Wang, RM Reynolds, TE Ahearne, ...","PLoS genetics",2015
"Recurrent Loss of Sex Is Associated with Accumulation of Deleterious Mutations in Oenothera","JD Hollister, S Greiner, W Wang, J Wang, Y Zhang, GKS Wong, SI Wright, ...","Molecular Biology and Evolution",2015
"Full-genome evolutionary histories of selfing, splitting, and selection in Caenorhabditis","CG Thomas, W Wang, R Jovelin, R Ghosh, T Lomasko, Q Trinh, ...","Genome research",2015
"Impact of artifact removal on ChIP quality metrics in ChIP-seq and ChIP-exo data","TS Carroll, Z Liang, R Salama, R Stark, I de Santiago","Frontiers in genetics",2014
"Elevated levels of FOXA1 facilitate androgen receptor chromatin binding resulting in a CRPC-like phenotype","JLL Robinson, TE Hickey, AY Warren, SL Vowler, T Carroll, AD Lamb, ...","Oncogene",2014
"HES6 drives a critical AR transcriptional programme to induce castration‐resistant prostate cancer through activation of an E2F1‐mediated cell cycle network","A Ramos‐Montoya, AD Lamb, R Russell, T Carroll, S Jurmeister, ...","EMBO molecular medicine",2014
"microRNA-mediated regulation of mTOR complex components facilitates discrimination between activation and anergy in CD4 T cells","A Marcais, R Blevins, J Graumann, A Feytout, G Dharmalingam, T Carroll, ...","Journal of Experimental Medicine",2014
"Cross-omics gene and protein expression profiling in juvenile female mice highlights disruption of calcium and zinc signalling in the brain following dietary exposure to CB-153 …","JD Rasinger, TS Carroll, AK Lundebye, C Hogstrand","Toxicology",2014
"An H3K9/S10 methyl-phospho switch modulates Polycomb and Pol II binding at repressed genes during differentiation","P Sabbattini, M Sjoberg, S Nikic, A Frangini, PH Holmqvist, N Kunowska, ...","Molecular biology of the cell",2014
"Regulation of the transcriptional coactivator MKL1 by the nuclear lamina.","M Sledd, C May, T Carroll","MOLECULAR BIOLOGY OF THE CELL",2014
"Regulation of Lamin A assembly and abundance by SRF/Mkl1.","T Carroll, K Thakar","MOLECULAR BIOLOGY OF THE CELL",2014
"Hes6 drives a critical androgen receptor (AR) transcriptional program to induce castration resistant prostate cancer (CRPC) through activation of an E2F1-mediated cell cycle …","AD Lamb, A Ramos-Montoya, R Russell, T Carroll, C Massie, G Shaw, ...","BJU INTERNATIONAL",2014
"Role of Hes6 in castration-resistant prostate cancer","AD Lamb, A Ramos-Montoya, R Russell, T Carroll, CE Massie, GL Shaw, ...","The Lancet",2014
"Kitsap County Green Sweep Program","M Heine, R Scherdnik, M Fohn, T Carroll, CW May","",2014
"836 Hes6 drives a critical androgen receptor (AR) transcriptional program to induce castration resistant prostate cancer (CRPC) through activation of an E2F1-mediated cell …","AD Lamb, A Ramos-Montoya, R Russell, T Carroll, CE Massie, G Shaw, ...","European Urology Supplements",2014
"PTEN function: the long and the short of it","BD Hopkins, C Hodakoski, D Barrows, SM Mense, RE Parsons","Trends in biochemical sciences",2014
"Regulation of PTEN inhibition by the pleckstrin homology domain of P-REX2 during insulin signaling and glucose homeostasis","C Hodakoski, BD Hopkins, D Barrows, SM Mense, M Keniry, KE Anderson, ...","Proceedings of the National Academy of Sciences",2014
"Characterization of body effect of Au-EGFET for KRAS gene detection","HH Chang, YT Lin, CM Yang, J Luo, CC Chiou, CS Lai","",2014
"Nannochloropsis Genomes Reveal Evolution of Microalgal Oleaginous Traits","D Wang, K Ning, J Li, J Hu, D Han, H Wang, X Zeng, X Jing, Q Zhou, X Su, ...","PLoS genetics",2014
"Genetic degeneration of old and young Y chromosomes in the flowering plant Rumex hastatulus","J Hough, JD Hollister, W Wang, SCH Barrett, SI Wright","Proceedings of the National Academy of Sciences",2014
"Mating system shifts and transposable element evolution in the plant genus Capsella","JA Ågren, W Wang, D Koenig, B Neuffer, D Weigel, SI Wright","BMC genomics",2014
"A complex secretory program orchestrated by the inflammasome controls paracrine senescence","JC Acosta, A Banito, T Wuestefeld, A Georgilis, P Janich, JP Morton, ...","Nature cell biology",2013
"Naive pluripotency is associated with global DNA hypomethylation","HG Leitch, KR McEwen, A Turp, V Encheva, T Carroll, N Grabole, ...","Nature structural & molecular biology",2013
"Redistribution of the Lamin B1 genomic binding profile affects rearrangement of heterochromatic domains and SAHF formation during senescence","M Sadaie, R Salama, T Carroll, K Tomimatsu, T Chandra, ARJ Young, ...","Genes & development",2013
"Functional variants at the 11q13 risk locus for breast cancer regulate cyclin D1 expression through long-range enhancers","JD French, M Ghoussaini, SL Edwards, KB Meyer, K Michailidou, ...","The American Journal of Human Genetics",2013
"Genome-wide identification of Ikaros targets elucidates its contribution to mouse B-cell lineage specification and pre-B–cell differentiation","I Ferreirós-Vidal, T Carroll, B Taylor, A Terry, Z Liang, L Bruno, ...","Blood, The Journal of the American Society of Hematology",2013
"Polycystin-1 binds Par3/aPKC and controls convergent extension during renal tubular morphogenesis","M Castelli, M Boca, M Chiaravalli, H Ramalingam, I Rowe, G Distefano, ...","Nature communications",2013
"Dietary exposure of juvenile female mice to polyhalogenated seafood contaminants (HBCD, BDE-47, PCB-153, TCDD): comparative assessment of effects in potential target tissues","F Maranghi, R Tassinari, G Moracci, I Altieri, JD Rasinger, TS Carroll, ...","Food and chemical toxicology",2013
"Interplay between Homeobox proteins and Polycomb repressive complexes in p16INK4a regulation","N Martin, N Popov, F Aguilo, A O’Loghlen, S Raguz, AP Snijders, ...","The EMBO journal",2013
"935 Activation of HIF1α promotes androgen independent prostate cancer cell growth","M Tran, F Lo, A Ramos-Montoya, H Scott, S Menon, T Carroll, M Osborne, ...","European Urology Supplements",2013
"Akt Regulates TNFα synthesis downstream of RIP1 kinase activation during necroptosis","CR McNamara, R Ahuja, AD Osafo-Addo, D Barrows, A Kettenbach, ...","PLoS One",2013
"Akt Regulates TNFo Synthesis Downstream of RIP1 Kinase Activation","CR McNamara, R Ahuja, AD Osafo-Addo, D Barrows, A Kettenbach","",2013
"Integrating solid-state sensor and microfluidic devices for glucose, urea and creatinine detection based on enzyme-carrying alginate microbeads","YH Lin, SH Wang, MH Wu, TM Pan, CS Lai, JD Luo, CC Chiou","Biosensors and Bioelectronics",2013
"Detection of KRAS mutation by combination of polymerase chain reaction (PCR) and EIS sensor with new amino group functionalization","YT Lin, JD Luo, CC Chiou, CM Yang, CY Wang, C Chou, CS Lai","Sensors and Actuators B: Chemical",2013
"The Capsella rubella genome and the genomic consequences of rapid mating system evolution","T Slotte, KM Hazzouri, JA Ågren, D Koenig, F Maumus, YL Guo, K Steige, ...","Nature genetics",2013
"Independence of repressive histone marks and chromatin compaction during senescent heterochromatic layer formation","T Chandra, K Kirschner, JY Thuret, BD Pope, T Ryba, S Newman, ...","Molecular cell",2012
"Polycomb associates genome-wide with a specific RNA polymerase II variant, and regulates metabolic genes in ESCs","E Brookes, I De Santiago, D Hebenstreit, KJ Morris, T Carroll, SQ Xie, ...","Cell stem cell",2012
"MicroRNA regulation of Cbx7 mediates a switch of Polycomb orthologs during ESC differentiation","A O'Loghlen, AM Muñoz-Cabello, A Gaspar-Maia, HA Wu, A Banito, ...","Cell stem cell",2012
"Polycomb complexes co-associate with a specific RNA polymerase II variant inES cells","I de Santiago, E Brookes, KJ Morris, T Carroll, SQ Xie, D Hebenstreit, ...","HUMAN GENE THERAPY",2012
"252 Homeobox Proteins Recruit Polycomb Repressive Complexes to Repress INK4a","N Popov, N Martin, F Aguilo, S Raguz, AP Snijders, G Dharmalingam, S Li, ...","european journal of cancer",2012
"Sensitive detection of unlabeled oligonucleotides using a paired surface plasma waves biosensor","YC Li, CC Chiou, JD Luo, WJ Chen, LC Su, YF Chang, YS Chang, CS Lai, ...","Biosensors and Bioelectronics",2012
"Saliva microbiomes distinguish caries-active from healthy human populations","F Yang, X Zeng, K Ning, KL Liu, CC Lo, W Wang, J Chen, D Wang, ...","The ISME journal",2012
"A role for cohesin in T-cell-receptor rearrangement and thymocyte differentiation","VC Seitan, B Hao, K Tachibana-Konwalski, T Lavagnolli, ...","Nature",2011
"Cerebral gene expression and neurobehavioural development after perinatal exposure to an environmentally relevant polybrominated diphenylether (BDE47)","M Haave, KI Folven, T Carroll, C Glover, E Heegaard, T Brattelid, ...","Cell biology and toxicology",2011
"Transcriptomic analysis of the neurotoxicity of relevant persistent organic pollutants in a salmon-based diet","TS Carroll","King's College, London",2011
"Endorepellin, the angiostatic module of perlecan, interacts with both the α2β1 integrin and vascular endothelial growth factor receptor 2 (VEGFR2): a dual receptor antagonism","A Goyal, N Pal, M Concannon, M Paul, M Doran, C Poluzzi, K Sekiguchi, ...","Journal of Biological Chemistry",2011
"Solid-state sensor incorporated in microfluidic chip and magnetic-bead enzyme immobilization approach for creatinine and glucose detection in serum","YH Lin, CH Chiang, MH Wu, TM Pan, JD Luo, CC Chiou","Applied Physics Letters",2011
"Monitoring triplex DNA formation with fluorescence resonance energy transfer between a fluorophore-labeled probe and intercalating dyes","CC Chiou, SW Chen, JD Luo, YT Chien","Analytical biochemistry",2011
"Assessment of co2 emission metrics for a commercial aircraft certification requirement","PA Bonnefoy, GA Burdette, T Carroll, RJ Hansman, J Hileman, S Isley, ...","",2010
"Systems biology investigation of the mechanisms of brominated flame retardant neurotoxicity","C Hogstrand","Comparative Biochemistry and Physiology Part A: Molecular & Integrative …",2010
"Methods and kits for the detection of nucleotide mutations using peptide nucleic acid as both PCR clamp and sensor probe","CC CHIOU, LUO Ji-Dung","US Patent",2010
"Identification of somatic mitochondrial DNA variations in colorectal cancer by next generation sequencing.","JD Luo, CC Chiou","AACC",2010
"Comparison of the Power Plate and Free Weight Exercises on Upper Body Muscle Endurance in Young Athletes","E Boland, D Boland, T Carroll, WR Barfield","International Journal of Exercise Science",2009
"P10: Histopathological effects of 2, 3, 7, 8-TCDD, PCB-153, PBDE-47, and HBCD administered in a salmon-based diet to juvenile female balb/c mice","F Maranghi, G Moracci, R Tassinari, JD Rasinger, TS Carroll, ...","Experimental and Toxicologic Pathology",2009
"Histopathological effects on target organ maturation in juvenile female mice upon exposure to 2, 3, 7, 8-TCDD, PCB-153, PBDE-47 or HBCD through a salmon-based diet","F Maranghi","Reproductive Toxicology",2009
"High resolution melting analysis for mutation detection for PTPN11 gene: Applications of this method for diagnosis of Noonan syndrome","FS Lo, JD Luo, YJ Lee, SG Shu, MT Kuo, CC Chiou","Clinica chimica acta",2009
"Novel Features of the Polysaccharide-Digesting Gliding Bacterium Flavobacterium johnsoniae as Revealed by Genome Sequence Analysis","MJ McBride, G Xie, EC Martens, A Lapidus, B Henrissat, RG Rhodes, ...","Applied and environmental microbiology",2009
"The complete genome sequence of Flavobacterium johnsoniae.","DW Hunnicutt, G Xie, A Lapidus, E Goltsman, W Wang, J Xu, B Henrissat, ...","Proceedings of'Flavobacterium",2009
"Putation, identification and bioinformatics analysis of Schistosoma japonicum aldehyde dehydrogenase full coding sequence","W Wang, DL Liu, W Hu, Z Feng, Z Yang","Zhongguo ji Sheng Chong xue yu ji Sheng Chong Bing za zhi= Chinese Journal …",2008
"The transcription corepressor LEUNIG interacts with the histone deacetylase HDA19 and mediator components MED14 (SWP) and CDK8 (HEN3) to repress transcription","D Gonzalez, AJ Bowen, TS Carroll, RS Conlan","Molecular and cellular biology",2007
"Leaving the big time: A case study of two universities that moved their athletics programs to Division III","T Carroll","University of Pennsylvania",2006
"Detection of rare mutant K-             ras              DNA in a single-tube reaction using peptide nucleic acid as both PCR clamp and sensor probe","JD Luo, EC Chan, CL Shih, TL Chen, Y Liang, TL Hwang, CC Chiou","Nucleic acids research",2006
"Single-tube reaction using peptide nucleic acid as both PCR clamp and sensor probe for the detection of rare mutations","CC Chiou, JD Luo, TL Chen","Nature Protocols",2006
"Cloning, expression and phylogenetic analysis of Schistosoma japonicum calcyphosine gene","C Ju, J Peng, B Xu, W Wang, Z Feng, W Hu","Zhongguo ji sheng chong xue yu ji sheng chong bing za zhi= Chinese journal …",2006
"Identification of an aerobic denitrifying bacterium and its potential application in wastewater treatment","P Li, YL Zheng, SL Chen","Chinese Journal of Applied and Environmental Biology",2005
"Detection of Trace Amounts of Mutant K-ras DNA by Peptide Nucleic Acid as Both PCR Clamp and Sensor Probe","CC Chiou, JD Luo","Clinical Chemistry",2004
"EUR Research Information Portal","D Bielopolski, L Musante, EJ Hoorn, H Molina, D Barrows, TS Carrol, ...","Group",2001
"Epileptic seizure prediction using big data and deep learning: toward a mobile system. EBioMedicine. 2018; 27: 103–11","I Kiral-Kornek, S Roy, E Nurse, B Mashford, P Karoly, T Carroll","Analysis of intracranial EEG data from",NA
"Epileptic seizure prediction using big data and deep learning: toward a mobile system. EBioMedicine 27, 103–111 (2018)","I Kiral-Kornek, S Roy, E Nurse, B Mashford, P Karoly, T Carroll, D Payne, ...","Elsevier",NA
"Epileptic seizure prediction using big data and deep learning: Toward a mobile system, EBioMedicine 27 (2018) 103–111","I Kiral-Kornek, S Roy, E Nurse, B Mashford, P Karoly, T Carroll, D Payne, ...","Crossref, Medline, Web of Science",NA
"Competing interests: The authors declare that no competing interests exist. Funding: See page 20 Received: 28 October 2016","Z Liang, KE Brown, T Carroll, B Taylor, IF Vidal, B Hendrich, D Rueda, ...","",NA
"Search Aggiornamenti in Medicina","A Yoney, F Etoc, A Ruzo, T Carroll, JJ Metzger","",NA
"IAT 2009","S Abras, G Airy, M Alberti, E Andonoff, S Baldassarri, D Le Berre, ...","",NA
"IAT 2010 Non-Program Committee Reviewers","L Agussurja, B Beaufils, S Cardon, T Carroll, S Ceppi, SF Cheng, ...","",NA
"IAT 2008","TM Abdelaziz, DF Adamatti, L Agussurja, P Barbini, A Batzios, A Bazzan, ...","",NA
"Hes6 drives a critical AR transcriptional program to induce castration resistant prostate cancer through activation of an E2F1-mediated cell cycle network","AD Lamb, A Ramos-Montoya, R Russell, T Carroll, CE Massie, G Shaw, ...","",NA
